price,bedrooms,bathrooms,balcony,property_age,major_location,built_up_area,furnishing_type,location,latitude,longitude,price_per_sqft
0.17,1,1,2,New_property,Nalasopara West,550.0,Furnished,Nalasopara West,19.4167,72.85,3091.0
0.18,1,1,0,New_property,others,665.0,Furnished,others,19.076,72.8777,2707.0
0.18,1,1,2,New_property,Palghar,630.0,Furnished,Palghar,19.7,72.7667,2857.0
0.18,1,1,2,New_property,Palghar,630.0,Unfurnished,Palghar,19.7,72.7667,2857.0
0.18,1,2,1,New_property,Palghar,630.0,Furnished,Palghar,19.7,72.7667,2857.0
0.19,1,1,2,New_property,Palghar,630.0,Unfurnished,Palghar,19.7,72.7667,3016.0
0.2,1,1,0,New_property,Naigaon East,280.0,Furnished,Naigaon East,19.3667,72.8333,7143.0
0.2,1,1,0,New_property,Virar East,460.0,Unfurnished,Virar East,19.4514,72.8089,4348.0
0.2,1,1,2,New_property,others,575.0,Furnished,others,19.076,72.8777,3478.0
0.21,1,1,3,New_property,Nalasopara West,555.0,Furnished,Nalasopara West,19.4167,72.85,3784.0
0.21,1,2,1,New_property,Naigaon East,500.0,Unfurnished,Naigaon East,19.3667,72.8333,4200.0
0.21,1,2,1,New_property,Virar West,668.0,Furnished,Virar West,19.4558,72.7947,3144.0
0.22,1,2,1,New_property,Naigaon East,500.0,Unfurnished,Naigaon East,19.3667,72.8333,4400.0
0.22,1,2,1,New_property,Naigaon East,850.0,Unfurnished,Naigaon East,19.3667,72.8333,2588.0
0.22,1,2,2,New_property,Vasai East,430.0,Furnished,Vasai East,19.3764,72.8225,5116.0
0.22,1,2,3,New_property,Nalasopara West,530.0,Furnished,Nalasopara West,19.4167,72.85,4151.0
0.23,1,1,1,Relatively New,Nalasopara West,500.0,Unfurnished,Nalasopara West,19.4167,72.85,4600.0
0.23,1,1,1,New_property,Nalasopara West,590.0,Furnished,Nalasopara West,19.4167,72.85,3898.0
0.23,1,1,3,New_property,Nalasopara West,590.0,Furnished,Nalasopara West,19.4167,72.85,3898.0
0.23,1,2,1,New_property,Naigaon East,500.0,Unfurnished,Naigaon East,19.3667,72.8333,4600.0
0.24,1,1,0,New_property,Nalasopara West,700.0,Unfurnished,Nalasopara West,19.4167,72.85,3429.0
0.24,1,1,0,New_property,Palghar,580.0,Furnished,Palghar,19.7,72.7667,4138.0
0.24,1,1,1,New_property,Nalasopara West,545.0,Furnished,Nalasopara West,19.4167,72.85,4404.0
0.24,1,1,1,New_property,Nalasopara West,600.0,Unfurnished,Nalasopara West,19.4167,72.85,4000.0
0.24,1,1,2,New_property,Naigaon East,500.0,Furnished,Naigaon East,19.3667,72.8333,4800.0
0.24,1,1,2,New_property,Nalasopara West,572.0,Furnished,Nalasopara West,19.4167,72.85,4196.0
0.24,1,1,2,New_property,Nalasopara West,585.0,Furnished,Nalasopara West,19.4167,72.85,4103.0
0.24,1,1,2,New_property,Nalasopara West,595.0,Furnished,Nalasopara West,19.4167,72.85,4034.0
0.24,1,1,2,New_property,Boisar,620.0,Unfurnished,Boisar,19.8,72.75,3871.0
0.24,1,1,2,New_property,Naigaon East,500.0,Unfurnished,Naigaon East,19.3667,72.8333,4800.0
0.24,1,1,2,New_property,Nalasopara West,590.0,Furnished,Nalasopara West,19.4167,72.85,4068.0
0.24,1,1,2,New_property,Nalasopara West,600.0,Furnished,Nalasopara West,19.4167,72.85,4000.0
0.24,1,1,3,New_property,Naigaon East,500.0,Furnished,Naigaon East,19.3667,72.8333,4800.0
0.24,1,1,3,New_property,Naigaon East,500.0,Unfurnished,Naigaon East,19.3667,72.8333,4800.0
0.24,1,1,3,New_property,Nalasopara West,590.0,Furnished,Nalasopara West,19.4167,72.85,4068.0
0.24,1,1,3,New_property,Nalasopara West,595.0,Furnished,Nalasopara West,19.4167,72.85,4034.0
0.24,1,2,2,New_property,Naigaon East,500.0,Furnished,Naigaon East,19.3667,72.8333,4800.0
0.24,1,3,0,New_property,Naigaon East,500.0,Unfurnished,Naigaon East,19.3667,72.8333,4800.0
0.24,1,3,0,New_property,Nalasopara West,850.0,Furnished,Nalasopara West,19.4167,72.85,2824.0
0.25,1,1,0,New_property,Nalasopara West,525.0,Furnished,Nalasopara West,19.4167,72.85,4762.0
0.25,1,1,1,New_property,Nalasopara West,590.0,Furnished,Nalasopara West,19.4167,72.85,4237.0
0.25,1,1,1,New_property,Virar East,535.0,Furnished,Virar East,19.4514,72.8089,4673.0
0.25,1,1,2,New_property,Boisar,620.0,Furnished,Boisar,19.8,72.75,4032.0
0.25,1,1,2,New_property,Naigaon East,460.0,Furnished,Naigaon East,19.3667,72.8333,5435.0
0.25,1,1,2,New_property,Naigaon East,500.0,Unfurnished,Naigaon East,19.3667,72.8333,5000.0
0.25,1,1,2,New_property,Virar West,400.0,Furnished,Virar West,19.4558,72.7947,6250.0
0.25,1,1,3,New_property,Naigaon East,500.0,Furnished,Naigaon East,19.3667,72.8333,5000.0
0.25,1,1,3,New_property,Naigaon East,500.0,Unfurnished,Naigaon East,19.3667,72.8333,5000.0
0.25,1,1,3,New_property,Naigaon East,540.0,Furnished,Naigaon East,19.3667,72.8333,4630.0
0.25,1,1,3,New_property,Nalasopara East,530.0,Furnished,Nalasopara East,19.4167,72.8667,4717.0
0.25,1,1,3,New_property,Nalasopara West,560.0,Furnished,Nalasopara West,19.4167,72.85,4464.0
0.25,1,2,1,New_property,Naigaon East,550.0,Furnished,Naigaon East,19.3667,72.8333,4545.0
0.25,1,2,2,New_property,Naigaon East,400.0,Furnished,Naigaon East,19.3667,72.8333,6250.0
0.25,1,2,2,New_property,Naigaon East,500.0,Unfurnished,Naigaon East,19.3667,72.8333,5000.0
0.25,1,2,2,New_property,Nalasopara West,595.0,Furnished,Nalasopara West,19.4167,72.85,4202.0
0.25,1,2,3,New_property,Naigaon East,500.0,Furnished,Naigaon East,19.3667,72.8333,5000.0
0.25,1,3,0,New_property,Naigaon East,500.0,Unfurnished,Naigaon East,19.3667,72.8333,5000.0
0.25,1,3,0,New_property,Boisar,620.0,Furnished,Boisar,19.8,72.75,4032.0
0.25,1,3,0,New_property,Naigaon East,530.0,Unfurnished,Naigaon East,19.3667,72.8333,4717.0
0.25,1,3,0,New_property,Naigaon East,550.0,Unfurnished,Naigaon East,19.3667,72.8333,4545.0
0.26,1,1,0,New_property,Naigaon East,529.0,Unfurnished,Naigaon East,19.3667,72.8333,4915.0
0.26,1,1,0,New_property,Virar West,610.0,Furnished,Virar West,19.4558,72.7947,4262.0
0.26,1,1,0,New_property,Virar West,650.0,Unfurnished,Virar West,19.4558,72.7947,4000.0
0.26,1,1,1,New_property,Naigaon East,500.0,Furnished,Naigaon East,19.3667,72.8333,5200.0
0.26,1,1,1,New_property,Nalasopara West,570.0,Furnished,Nalasopara West,19.4167,72.85,4561.0
0.26,1,1,1,New_property,Nalasopara West,580.0,Furnished,Nalasopara West,19.4167,72.85,4483.0
0.26,1,1,1,New_property,Nalasopara West,595.0,Furnished,Nalasopara West,19.4167,72.85,4370.0
0.26,1,1,1,New_property,Nalasopara West,660.0,Unfurnished,Nalasopara West,19.4167,72.85,3939.0
0.26,1,1,1,New_property,Nalasopara West,667.0,Furnished,Nalasopara West,19.4167,72.85,3898.0
0.26,1,1,2,Relatively New,Nalasopara West,572.0,Unfurnished,Nalasopara West,19.4167,72.85,4545.0
0.26,1,1,2,New_property,Naigaon East,500.0,Unfurnished,Naigaon East,19.3667,72.8333,5200.0
0.26,1,1,2,New_property,Naigaon East,590.0,Unfurnished,Naigaon East,19.3667,72.8333,4407.0
0.26,1,1,2,New_property,Naigaon East,610.0,Furnished,Naigaon East,19.3667,72.8333,4262.0
0.26,1,1,2,New_property,Nalasopara West,535.0,Furnished,Nalasopara West,19.4167,72.85,4860.0
0.26,1,1,2,New_property,Nalasopara West,550.0,Furnished,Nalasopara West,19.4167,72.85,4727.0
0.26,1,1,2,New_property,Nalasopara West,590.0,Unfurnished,Nalasopara West,19.4167,72.85,4407.0
0.26,1,1,2,New_property,Virar West,450.0,Unfurnished,Virar West,19.4558,72.7947,5778.0
0.26,1,1,3,New_property,Naigaon East,610.0,Unfurnished,Naigaon East,19.3667,72.8333,4262.0
0.26,1,1,3,New_property,Naigaon East,640.0,Unfurnished,Naigaon East,19.3667,72.8333,4062.0
0.26,1,1,3,New_property,Nalasopara West,520.0,Unfurnished,Nalasopara West,19.4167,72.85,5000.0
0.26,1,2,1,New_property,Nalasopara West,570.0,Furnished,Nalasopara West,19.4167,72.85,4561.0
0.26,1,2,1,New_property,Naigaon East,580.0,Unfurnished,Naigaon East,19.3667,72.8333,4483.0
0.26,1,2,1,New_property,Virar West,600.0,Furnished,Virar West,19.4558,72.7947,4333.0
0.26,1,2,2,New_property,Naigaon East,500.0,Unfurnished,Naigaon East,19.3667,72.8333,5200.0
0.26,1,3,0,New_property,Naigaon East,560.0,Unfurnished,Naigaon East,19.3667,72.8333,4643.0
0.26,1,3,0,New_property,Nalasopara West,700.0,Unfurnished,Nalasopara West,19.4167,72.85,3714.0
0.26,2,1,2,New_property,others,790.0,Furnished,others,19.076,72.8777,3291.0
0.27,1,1,0,New_property,Nalasopara West,620.0,Unfurnished,Nalasopara West,19.4167,72.85,4355.0
0.27,1,1,1,Relatively New,Nalasopara West,515.0,Furnished,Nalasopara West,19.4167,72.85,5243.0
0.27,1,1,1,New_property,Nalasopara West,545.0,Furnished,Nalasopara West,19.4167,72.85,4954.0
0.27,1,1,1,New_property,Nalasopara West,575.0,Furnished,Nalasopara West,19.4167,72.85,4696.0
0.27,1,1,1,New_property,Nalasopara West,575.0,Unfurnished,Nalasopara West,19.4167,72.85,4696.0
0.27,1,1,1,New_property,Nalasopara West,585.0,Unfurnished,Nalasopara West,19.4167,72.85,4615.0
0.27,1,1,1,New_property,Virar West,750.0,Furnished,Virar West,19.4558,72.7947,3600.0
0.27,1,1,2,New_property,Nalasopara West,490.0,Furnished,Nalasopara West,19.4167,72.85,5510.0
0.27,1,1,2,New_property,Nalasopara West,545.0,Furnished,Nalasopara West,19.4167,72.85,4954.0
0.27,1,1,2,New_property,Nalasopara West,590.0,Unfurnished,Nalasopara West,19.4167,72.85,4576.0
0.27,1,1,2,New_property,Nalasopara West,595.0,Unfurnished,Nalasopara West,19.4167,72.85,4538.0
0.27,1,1,2,New_property,Virar West,635.0,Furnished,Virar West,19.4558,72.7947,4252.0
0.27,1,1,2,New_property,Virar West,650.0,Unfurnished,Virar West,19.4558,72.7947,4154.0
0.27,1,1,3,Mid Age,Naigaon East,540.0,Unfurnished,Naigaon East,19.3667,72.8333,5000.0
0.27,1,1,3,New_property,Vasai East,575.0,Unfurnished,Vasai East,19.3764,72.8225,4696.0
0.27,1,1,3,New_property,Nalasopara West,520.0,Furnished,Nalasopara West,19.4167,72.85,5192.0
0.27,1,2,1,New_property,Nalasopara West,590.0,Unfurnished,Nalasopara West,19.4167,72.85,4576.0
0.27,1,2,1,New_property,Vasai East,650.0,Furnished,Vasai East,19.3764,72.8225,4154.0
0.27,1,2,1,New_property,Virar West,668.0,Furnished,Virar West,19.4558,72.7947,4042.0
0.27,1,2,2,New_property,Vasai East,600.0,Furnished,Vasai East,19.3764,72.8225,4500.0
0.27,1,2,2,New_property,Nalasopara West,565.0,Furnished,Nalasopara West,19.4167,72.85,4779.0
0.27,1,2,2,New_property,Virar West,660.0,Furnished,Virar West,19.4558,72.7947,4091.0
0.27,1,2,3,New_property,Virar West,650.0,Furnished,Virar West,19.4558,72.7947,4154.0
0.27,1,2,3+,New_property,Nalasopara West,620.0,Unfurnished,Nalasopara West,19.4167,72.85,4355.0
0.28,1,1,0,New_property,Naigaon East,680.0,Unfurnished,Naigaon East,19.3667,72.8333,4118.0
0.28,1,1,0,New_property,Virar East,550.0,Unfurnished,Virar East,19.4514,72.8089,5091.0
0.28,1,1,1,New_property,Virar West,564.0,Furnished,Virar West,19.4558,72.7947,4965.0
0.28,1,1,1,New_property,Virar West,630.0,Unfurnished,Virar West,19.4558,72.7947,4444.0
0.28,1,1,1,New_property,Virar West,750.0,Furnished,Virar West,19.4558,72.7947,3733.0
0.28,1,1,2,New_property,Vasai East,630.0,Unfurnished,Vasai East,19.3764,72.8225,4444.0
0.28,1,1,2,New_property,Virar West,670.0,Furnished,Virar West,19.4558,72.7947,4179.0
0.28,1,1,2,New_property,Virar West,758.0,Furnished,Virar West,19.4558,72.7947,3694.0
0.28,1,1,2,New_property,Nalasopara West,490.0,Furnished,Nalasopara West,19.4167,72.85,5714.0
0.28,1,1,2,New_property,Nalasopara West,550.0,Furnished,Nalasopara West,19.4167,72.85,5091.0
0.28,1,1,2,New_property,Nalasopara West,565.0,Furnished,Nalasopara West,19.4167,72.85,4956.0
0.28,1,1,2,New_property,Nalasopara West,572.0,Furnished,Nalasopara West,19.4167,72.85,4895.0
0.28,1,1,2,New_property,Nalasopara West,585.0,Furnished,Nalasopara West,19.4167,72.85,4786.0
0.28,1,1,2,New_property,Nalasopara West,590.0,Furnished,Nalasopara West,19.4167,72.85,4746.0
0.28,1,1,2,New_property,Nalasopara West,595.0,Furnished,Nalasopara West,19.4167,72.85,4706.0
0.28,1,1,2,New_property,Nalasopara West,600.0,Furnished,Nalasopara West,19.4167,72.85,4667.0
0.28,1,1,2,New_property,Nalasopara West,620.0,Furnished,Nalasopara West,19.4167,72.85,4516.0
0.28,1,1,2,New_property,Virar West,620.0,Unfurnished,Virar West,19.4558,72.7947,4516.0
0.28,1,1,2,New_property,Virar West,645.0,Furnished,Virar West,19.4558,72.7947,4341.0
