link,name,location,price,area,bhk,bathroom,area_type_x,id,property_name_address,bedrooms,bathrooms,balcony,additional_rooms,super_builtup_area,area_type_y,floor,property_age,facing,nearby_location,features,furnishing_details,image_links
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-kalpataru-aura-ghatkopar-west-central-mumbai-suburbs-1019-sq-ft-spid-F84374120,"Kalpataru Aura
4.2","2 BHK Flat in Ghatkopar West, Mumbai",₹3.49 Cr,"1,019 sqft",2 BHK,(2 Baths),Built-up Area,1,Kalpataru Aura Ghatkopar West,2,2,1,Servant Room,1019,849,20th of 20 Floors,0 to 1 Year Old,South-East,Ghantkopar Station,"Intercom Facility, Lift(s), Maintenance Staff, Swimming Pool, Park, Piped-gas, Security Personnel, Natural Light, Airy Rooms, Fitness Centre / GYM, Club house / Community Center, Rain Water Harvesting","2 Fan, 2 Light, 2 AC, No Bed, No Chimney, No Curtains, No Dining Table, No Exhaust Fan, No Geyser, No Modular Kitchen, No Microwave, No Fridge, No Sofa, No Stove, No TV, No Wardrobe, No Washing Machine, No Water Purifier",
https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-prince-tower-ghatkopar-west-central-mumbai-suburbs-480-sq-ft-spid-C85209644,Prince Tower,"1 BHK Flat in Ghatkopar West, Mumbai",₹1.1 Cr,480 sqft,1 BHK,(1 Bath),Carpet Area,2,Prince Tower Ghatkopar West,1,1,0,,,480,1st of 4 Floors,10+ Year Old,,Tahera Masjid,,,
https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sai-darshan-apartment-ghatkopar-west-central-mumbai-suburbs-500-sq-ft-spid-Q84216430,Sai Darshan Apartment,"1 BHK Flat in Ghatkopar West, Mumbai",₹1.1 Cr,500 sqft,1 BHK,(1 Bath),Super Built-up Area,3,Sai Darshan Apartment Ghatkopar West,1,1,0,,500,500,7th of 7 Floors,10+ Year Old,West,Vivo ghatkopar metro station,"Lift(s), Water Storage","1 Bed, 1 Wardrobe, 1 Water Purifier, 1 Fan, 1 Sofa, 1 Exhaust Fan, 2 Light, 1 Modular Kitchen, No AC, No Chimney, No Curtains, No Dining Table, No Geyser, No Microwave, No Fridge, No Stove, No TV, No Washing Machine","https://imagecdn.99acres.com/media1/33205/9/664109323M-1761465153376.jpg, https://imagecdn.99acres.com/media1/32895/5/657905541T-1759912504675.jpg, https://imagecdn.99acres.com/media1/32636/4/652724389T-1758873392493.jpg, https://imagecdn.99acres.com/media1/32948/2/658962553T-1760358902678.jpg, https://imagecdn.99acres.com/media1/32891/6/657826117T-1759906539389.jpg"
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-kalpataru-aura-ghatkopar-west-central-mumbai-suburbs-1050-sq-ft-spid-E85325352,"Kalpataru Aura
4.2","3 BHK Flat in Ghatkopar West, Mumbai",₹3.49 Cr,"1,050 sqft",3 BHK,(2 Baths),Super Built-up Area,4,Kalpataru Aura Ghatkopar West,3,2,0,,1050,958,20th of 20 Floors,1 to 5 Year Old,West,Ghantkopar Station,"Security / Fire Alarm, Power Back-up, Feng Shui / Vaastu Compliant, Intercom Facility, Lift(s), Maintenance Staff, Water Storage, Recently Renovated, Bank Attached Property, Piped-gas, Visitor Parking, Swimming Pool, Park, Security Personnel, Natural Light, Internet/wi-fi connectivity, Airy Rooms, Fitness Centre / GYM, Waste Disposal, Rain Water Harvesting, Club house / Community Center, Water softening plant","1 Exhaust Fan, 1 Modular Kitchen, 1 Curtains, No AC, No Bed, No Chimney, No Dining Table, No Fan, No Geyser, No Light, No Microwave, No Fridge, No Sofa, No Stove, No TV, No Wardrobe, No Washing Machine, No Water Purifier","https://imagecdn.99acres.com/media1/32482/11/649651165M-1758276178986.jpg, https://imagecdn.99acres.com/media1/32892/14/657854883T-1759908452896.jpg, https://imagecdn.99acres.com/media1/30877/1/617541491T-1752150078029.jpg, https://imagecdn.99acres.com/media1/32748/4/654964403T-1759311579666.jpg, https://imagecdn.99acres.com/media1/33079/19/661599825T-1760686350435.jpg"
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-wadhwa-promenade-at-the-address-ghatkopar-west-central-mumbai-suburbs-661-sq-ft-spid-Y79646701,"Wadhwa Promenade at The Address
4.3","2 BHK Flat in Ghatkopar West, Mumbai",₹2.2 Cr,661 sqft,2 BHK,(2 Baths),Super Built-up Area,5,Wadhwa Promenade at the Address Ghatkopar West,2,2,0,,661,649,15th of 22 Floors,10+ Year Old,North,Ghatkopar Rly. Station,"Security / Fire Alarm, Feng Shui / Vaastu Compliant, Intercom Facility, Lift(s), Maintenance Staff, False Ceiling Lighting, Water Storage, Bank Attached Property, Piped-gas, Swimming Pool, Park, Natural Light, Airy Rooms, Low Density Society, Fitness Centre / GYM, Waste Disposal, Rain Water Harvesting, Club house / Community Center",,"https://imagecdn.99acres.com/media1/30165/7/603307207M-1755636771368.jpg, https://imagecdn.99acres.com/media1/32892/10/657850753T-1760006787400.jpg, https://imagecdn.99acres.com/media1/32960/4/659204975T-1760165159672.jpg, https://imagecdn.99acres.com/media1/31955/9/639109107T-1756208744226.jpg, https://imagecdn.99acres.com/media1/32789/5/655785931T-1759580115099.jpg"
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-kalpataru-aura-ghatkopar-west-central-mumbai-suburbs-850-sq-ft-spid-H85930178,"Kalpataru Aura
4.2","3 BHK Flat in Ghatkopar West, Mumbai",₹3.05 Cr,850 sqft,3 BHK,(2 Baths),Carpet Area,6,Kalpataru Aura Ghatkopar West,3,2,0,Study Room,850,,10th of 20 Floors,10+ Year Old,East,Ghantkopar Station,"Water purifier, Centrally Air Conditioned, Power Back-up, Private Garden / Terrace, Intercom Facility, Lift(s), High Ceiling Height, Maintenance Staff, False Ceiling Lighting, Separate entry for servant room, No open drainage around, Piped-gas, Internet/wi-fi connectivity, Recently Renovated, Swimming Pool, Park, Security Personnel, Natural Light, Airy Rooms, Spacious Interiors, Low Density Society, Waste Disposal, Rain Water Harvesting, Water softening plant, Shopping Centre, Fitness Centre / GYM, Club house / Community Center",,"https://imagecdn.99acres.com/media1/33169/17/663397541M-1761294527639.jpg, https://imagecdn.99acres.com/media1/32284/19/645699285T-1757586193277.jpg, https://imagecdn.99acres.com/media1/32747/19/654959079T-1759310973529.jpg, https://imagecdn.99acres.com/media1/33046/1/660921809T-1760524277343.jpg, https://imagecdn.99acres.com/media1/32526/8/650528895T-1758453204561.jpg"
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-wadhwa-promenade-at-the-address-ghatkopar-west-central-mumbai-suburbs-650-sq-ft-spid-M85422826,"Wadhwa Promenade at The Address
4.3","2 BHK Flat in Ghatkopar West, Mumbai",₹1.85 Cr,650 sqft,2 BHK,(2 Baths),Carpet Area,7,Wadhwa Promenade at the Address Ghatkopar West,2,2,0,,,650,20th of 28 Floors,5 to 10 Year Old,East,Ghatkopar Rly. Station,"Feng Shui / Vaastu Compliant, Security / Fire Alarm, Intercom Facility, Lift(s), Swimming Pool, Maintenance Staff, Water Storage, Park, Visitor Parking, Fitness Centre / GYM, Club house / Community Center, Rain Water Harvesting",,"https://imagecdn.99acres.com/media1/33120/4/662404499M-1760954034143.jpg, https://imagecdn.99acres.com/media1/32892/10/657850753T-1760006787400.jpg, https://imagecdn.99acres.com/media1/32100/19/642019551T-1756882143826.jpg, https://imagecdn.99acres.com/media1/32960/4/659204975T-1760165159672.jpg, https://imagecdn.99acres.com/media1/31955/9/639109107T-1756208744226.jpg"
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-wadhwa-promenade-at-the-address-ghatkopar-west-central-mumbai-suburbs-650-sq-ft-spid-M85422826,"Wadhwa Promenade at The Address
4.3","2 BHK Flat in Ghatkopar West, Mumbai",₹1.85 Cr,650 sqft,2 BHK,(2 Baths),Carpet Area,33,"Carpet area: 650
(60.39 sq.m.)  
sq.ft.",2 Bedrooms,2 Bathrooms,No Balcony,,,650,20th   of 28 Floors,5 to 10 Year Old,East,"Ghatkopar Rly. Station, LBS Marg, Podar International School, Sarvodaya Hospital, International Airport, BKC Business Hub","Feng Shui / Vaastu Compliant, Security / Fire Alarm, Intercom Facility, Lift(s), Swimming Pool, Maintenance Staff, Water Storage, Park, Visitor Parking, Fitness Centre / GYM, Club house / Community Center, Rain Water Harvesting",,"https://imagecdn.99acres.com/media1/33120/4/662404499M-1760954034143.jpg, https://imagecdn.99acres.com/media1/32100/19/642019551T-1756882143826.jpg, https://imagecdn.99acres.com/media1/32960/4/659204975T-1760165159672.jpg, https://imagecdn.99acres.com/media1/31955/9/639109107T-1756208744226.jpg, https://imagecdn.99acres.com/media1/33008/13/660173741T-1760361390344.jpg"
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-wadhwa-boulevard-ghatkopar-west-central-mumbai-suburbs-1569-sq-ft-r2-spid-D79838045,Wadhwa Boulevard,"3 BHK Flat in Ghatkopar West, Mumbai",₹3.99 Cr,"1,569 sqft",3 BHK,(2 Baths),Super Built-up Area,8,Wadhwa Boulevard Ghatkopar West,3,2,1,,1569,1050,14th of 28 Floors,1 to 5 Year Old,North-West,Vivo ghatkopar metro station,"Centrally Air Conditioned, Water purifier, Security / Fire Alarm, Power Back-up, Feng Shui / Vaastu Compliant, Private Garden / Terrace, Intercom Facility, Lift(s), High Ceiling Height, Maintenance Staff, False Ceiling Lighting, Water Storage, Separate entry for servant room, No open drainage around, Piped-gas, Internet/wi-fi connectivity, Recently Renovated, Visitor Parking, Swimming Pool, Park, Security Personnel, Natural Light, Airy Rooms, Spacious Interiors, Low Density Society, Waste Disposal, Rain Water Harvesting, Water softening plant, Shopping Centre, Fitness Centre / GYM, Club house / Community Center","1 Water Purifier, 6 Fan, 2 Geyser, 6 Light, No AC, No Bed, No Chimney, No Curtains, No Dining Table, No Exhaust Fan, No Modular Kitchen, No Microwave, No Fridge, No Sofa, No Stove, No TV, No Wardrobe, No Washing Machine","https://imagecdn.99acres.com/media1/32177/16/643556975M-1757151213222.jpg, https://imagecdn.99acres.com/media1/31215/18/624318823T-1753616294713.jpg, https://imagecdn.99acres.com/media1/30893/10/617870267T-1752303427497.jpg, https://imagecdn.99acres.com/media1/32561/2/651222447T-1758610629032.jpg, https://imagecdn.99acres.com/media1/33222/5/664445451T-1761551828994.jpg"
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-wadhwa-boulevard-ghatkopar-west-central-mumbai-suburbs-1046-sq-ft-spid-M85347328,Wadhwa Boulevard,"2 BHK Flat in Ghatkopar West, Mumbai",₹3.95 Cr,"1,046 sqft",2 BHK,(2 Baths),Carpet Area,9,Wadhwa Boulevard Ghatkopar West,2,2,1,Study Room,1046,,28th of 28 Floors,1 to 5 Year Old,North-East,Vivo ghatkopar metro station,"Security / Fire Alarm, Power Back-up, Feng Shui / Vaastu Compliant, Intercom Facility, Lift(s), Water purifier, High Ceiling Height, Maintenance Staff, Water Storage, Piped-gas, Visitor Parking, Swimming Pool, Park, Security Personnel, Natural Light, Airy Rooms, Spacious Interiors, Fitness Centre / GYM, Waste Disposal, Rain Water Harvesting, Club house / Community Center","2 Wardrobe, 6 Fan, 1 Exhaust Fan, 2 Geyser, 1 Stove, 25 Light, 1 Modular Kitchen, 1 Chimney, 3 AC, No Bed, No Curtains, No Dining Table, No Microwave, No Fridge, No Sofa, No TV, No Washing Machine, No Water Purifier","https://imagecdn.99acres.com/media1/28260/2/565202625O-1738140960246.jpg, https://imagecdn.99acres.com/media1/32510/2/650202393M-1758369729815.jpg, https://imagecdn.99acres.com/media1/31549/13/630993435T-1754830614826.jpg, https://imagecdn.99acres.com/media1/33217/14/664354379T-1761543763922.jpg, https://imagecdn.99acres.com/media1/33217/13/664353701T-1761543673743.jpg"
